,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,NGOs,commodity price stabilization,bacillecalmetteguerin vaccines,employment ,gender* equality* politic*,efficient water systems,bulb*,exports,disruptive innovations,Ecuador,flood mitigation,gas,climate change hazard,Channa,Cicurina madla,corruption deterrence,excise duties
,oil,conservation agriculture,Bangladesh,employment*-related* outcome*,gender* equit*,efficient water use,bullet train electrification,exports diversification,distributed control system,education equality,flood modelling,gas subsidies,climate change hazards,Chanos,Cinclodes aricomae,corruption dynamics,excise duty
,oils,conservation tillage,barrier to health service,employmentrelated* outcome*,gender* equity* politic*,efficient water utilization,bullettrain electrification,fair trade,distributed control systems,education equity,flood risk,gas subsidy,climate change impact,Chanos chanos,CITES,corruption eradication,excise tax
,old people,conservation w/2 variet*,barrier to health services,Energy consumption ,Gender* gap*,effluent,Bureya Dam,fair trade-off ,domestic technologies,education inclusion,flood risk analysis,gasoline,climate change impact adaptation,charr*,CITES appendix,corruption in organizations,excise taxes
,old-age pension,conserve,barrier to health-care,energy efficiency,gender* goal*,effluents,bus,fair tradeoff ,domestic technology,education inequities,flood risk assessment,gasoline subsidies,climate change impacts,Cherax,climate,corruption index,exit consent*
,oldage pension,conventional and organic,barrier to healthcare,energy poverty,gender* governance*,emission,bus electrification,fair work act,e-inclusion,education inequity,flood risk governance,gasoline subsidy,climate change investment,Chesapeake Bay,climate change finance,corruption level,expand*
,older people,conversion to organic,barrier to medical care,energy saving,gender* inequ*,energy recovery,busses,fair work bill,e-manufacturing,educational disparities,flood risk map,geological disposal,climate change investments,Chilean Dolphin,climate finance,corruption levels,expansion
,outer space,corn,barrier to medical treatment,energy* attitude*,Gender* inequalit*,environmental rehabilitation,butanol fuel*,fairtrade ,eco-design,educational disparity,flood risk mapping,geotourism,Climate change justice,Chilean dolphin,climate fund,corruption network,export
,outer-space,counter measur*,barrier to mental health service,energy* conservation* behavior*,gender* inequalit*,epanet,Bánki-Michell turbine,farm credit,eco-designs,educational equality,flood risk mitigation,Global Environment Facility,climate change law,Chilean Dolphins,Cnemidophorus vanzoi,corruption networks,export ban*
,outerspace,cover crop,barrier to mental health services,engineering,gender* inequit*,equitable distribution of water,Bánki-Michell turbines,farm productivity,eco-efficiency,educational equity,flood risk modelling,Global Reporting Initiative,climate change laws,Chilean Sea,coast,corruption offence,exporter*
,ownership,cover cropping,barrier to mental health treatment,enrollment,gender* injustice* ,Esophagus,Cahora Bassa,farm tourism,eco-efficient,educational inclusion,flood risk perception,global warming,climate change legislation,Chinese sturgeon,coast*,corruption offences,external debt
,ownership*,cover crops,barrier to mental health treatments,enrolment,gender* issue*,estuar*,calcium-air,fast economic growth,eco-friendly,educational inequalities,flood risk reduction,green,climate change legislations,chinook,Coastal,corruption offense,fair market value
,parental leave,cow,barrier to mental health-care,entrepreneur*,gender* perspective*,estuarie,calciumair,fatalities,eco-industrial,educational inequality,flood*,green building material,climate change measures,Chinook salmon,Colinus virginianus ridgwayi,corruption offenses,fair trade
,passing* intersection*,cows,barrier to mental healthcare,Entrepreneurial attitude,Gender* perspective*,estuaries,cancer*,fdi,eco-innovation,educational inequities,flooding,green building materials,climate change policies,chinook*,Colobus satanas,corruption perception index,favorable term
,patient*,credit access,barrier to primary care,entrepreneurial* attitude*,Gender* policy* change*,estuary,car,female borrowers,Eco-innovation,educational inequity,floodings,green construction,climate change policy,Chlamys islandica,Columba inornata wetmorei,corruption prevention,favourable term
,pay-as-you-go pension,Credit* program*,barrier to primary healthcare,entrepreneurship,Gender* politic*,evapotranspiration,cars,female employment,Eco-innovations,educational segregation,flow prediction,green construction material,climate change program,chlorella,Columba mayeri,corruption reduction,FDI
,payasyougo pension,crop,barriers to health service,environment,Gender* quota*,Excreta,Caruachi,female labor force participation,eco-innovations,educational stratification,forecast*,green construction materials,climate change regulation,Chondrus crispus,Columba palumbus azorica,corruption scandal,fdi inflow*
,payg,crop biodiversity,barriers to health services,environment*,gender* representation*,excreta disposal,Cascade Reservoir*,female labor participation,ecodesign,Egypt,forest,Green curricula,climate change regulations,cichlid,combat deforestation,corruption scandals,federal
,pension plan,crop diversity,barriers to health-care,environmental,gender* role*,exposure to lead,cell,female labour,ecoefficiency,elimination of tariff,forests,green design,climate change related disaster,cirrhinus,combat desertification,corruption type,fight*
,pension reform,crop evolution,barriers to healthcare,environmental education,Gender* sensitive* curricul*,faecal contamination,cell phone*,female labour force participation,ecofriendly,elimination of tariffs,Freeway speed,green housing,climate change related disasters,Cirrhinus,combating desertification,corruption types,Fiji
,pension system,crop genetic diversity,barriers to medical care,Environmental science education,Gender* stereotype*,faecal sludge,cellphone*,female labour participation,ecoindustrial,emergency aid,gentrification,green procurement,climate change related hazard,clam,conifer plantation,counter-terror,financ*
,permanent income,crop genetic resources,barriers to medical treatments,environmental* problem*,gender* vulnerabilit*,faeces,cells,finance,Ecoinnovation,emergency relief,geograp*,green production,climate change related hazards,clam*,Conolophus pallidus,counter-terrorism,financ* distress*
,Personal Responsibility and Work Opportunity Reconciliation Act,crop germination,barriers to mental health service,epidemiolog*,gender*-related* bias*,farming,cellular bio-energy,financial access,ecoinnovation,emerging countries,geoheritage,green public procurement,climate change related risk,clams,conservation,counteracting corruption,financed
,polic*,crop growth,barriers to mental health services,equable,Gender-based,favela,cellular bioenergy,financial education,Ecoinnovations,emerging country,geologic disaster,green roof,climate change related risks,clarias,conservation breeding,countering terror,financial
,policies,Crop introduction,barriers to mental health treatment,equal education ,gender-based violence,favelas,cellulosic ethanol,financial illiteracy,edm process,emerging economies,geologic heritage,green roofs,climate change risk,Clean-Coast Index,conservation education,countering terrorism,financing
,policy,Crop management,barriers to mental health treatments,equal* opportunit*,Gender-based violence,Feacal,central heating,financial inclusion,efficiency standards,emerging economy,geological hazards,green supply chain,climate change risks,CleanCoast Index,conservation finance,counterterror,finland
,polymorphic enzyme,crop plants,barriers to mental health-care,equalities in education,gender-related issues,Fecal,CHAdeMO,financial knowledge,efficient,emerging nation,geological heritage,green tourism,climate change strategies,climate change,conservation funding,counterterrorism,fiscal polic*
,poor,crop production,barriers to mental healthcare,equality,gender-related rights,fecal contamination,Changheba,financial literacy,efficient industrialization,emerging nations,geological* disaster*,green waste composting,climate change strategy,Clupea,conservation investment,countr*,Fiscal Reaction Function*
,poor household,crop protection,barriers to primary care,equality in education,gender-responsive budgeting,fecal sludge,charging infrastructure*,financial services,efficient machining,emigrant policies,geomorphological heritage,green* building*,Climate Change summit,clupea harengus,conservation measures,couple violence,fiscal recover*
,Poor househould,crop response*,barriers to primary health-care,equitability,Gender-sensitive ,Feces ,charging point,fintech*,efficient manufacturing,emigrant policy,green,green* consumption*,climate change target,Clymene Dolphin,conservation of bats,court interpreter,fiscal rule*
,poor income,crop sowing,barriers to primary healthcare,equitable,gender-specific ,feces contamination,charging point*,firm productivity,efficient use of energy,emigrant rights,green area,groundwater,climate change targets,Clymene Dolphins,conservation of biodiversity,court interpreters,fiscal space*
,poor mental health,crop varieties,basic reproduction number,equities in education,Genderbased,fields,charging spot*,fiscal policy,efficient* public* transport*,emigrant worker,green areas,hazardous household waste,climate change treaties,cnidaria*,conservation of birds,court interpreting,fiscal* sustain*
,poor peole,crop wild relative,basic reproduction ratio,equity,Genderbased violence,filter,charging station*,Flexible working hours,Effluent treatment,emigrant workers,green cities,hazardous waste,climate change treaty,co-management,conservation of nature,court of human rights,flourish*
,poor people,crop wild relatives,basic reproductive number,equity in education,genderbased violence,filters,chemical conversion,flexicurity,einclusion,emigrants rights,green city,hazardous waste management,climate changes,coast,conservation of species,crime group,food polic*
,poor producer,crop wild relatives (cwr),basic reproductive ratio,equity* issue*,gendered access to land,filtration,chemotherap*,forced labor,electron-beam melting,emigration act,green infrastructure,health care waste,Climate Conference,coast ecosystem,conservation planning,crime groups,food system*
,poor village,crop yield,bcg vaccination,ethics,Gendered power balance,fit-for-purpose treatment,Chicoasén Dam,forced labour,electron-beam selective melting,emigration bill,green space,healthcare waste,Climate convention,coast*,conservation status,crime network,foreign
,poor* communit*,crop yield*,bcg vaccine,ethnic*,gendered* barrier*,fitforpurpose treatment,Chief Joseph Dam,forced labourers,electronbeam melting,emigration control,green spaces,HLNW,climate disaster,coast* ecosystem*,conservation target,crime networks,foreign aid
,poor* famil*,crop*,bcg vaccines,exclusion,gendered* perception*,flocculation,chip fuel*,foreign aid,emanufacturing,emigration controls,green* area*,holiday,climate disasters,coast* environment*,conservation targets,crime of corruption,foreign debt
,poor* household*,crop* biodivers*,Belarus,exclusion from primary school,genderrelated issues,floodwater management,Churchill Falls,forest,embedded sensor,emigration flow,green* infrastructure*,homestay programme,climate engineering,coast* pollut*,Conserving bat populations,crimes of corruption,foreign direct investment*
,poor* village*,crop* rotation*,Belize,exclusion from school,genderrelated rights,fluoride,cigs,formal jobs,embedded sensors,emigration flows,green* space*,hospital waste management,climate equity,coast*al*,contingent valuation,criminal corruption,foreign entry mode*
,poorer people,crop-livestock,Benin,Exclusion in education,genderrelated* bias*,fluoride removal,city bus,formal sector employment,emission,emigration integration,greenhouse effect,hotel,climate finance,coastal,controlling desertification,criminal gang,foreign import*
,poorest,crop-livestock system,Bhutan,exclusive,genderresponsive budgeting,fluorine,city buses,formalisation,emission credit,emigration law,greenhouse gas,hotel industry,climate financing,Coastal Barrier Resources Act,Convention on Biological Diversity,criminal gangs,foreign investment*
,poverty,crop-livestock systems,bicycle accident,exclusive education,Gendersensitive ,Fluorosis,clean,formalization,emission credits,emigration laws,Greenspace*,house,Climate Fund,coastal conservation,convention on biological diversity,criminal group,foreign trade*
,poverty alleviation,crop-to-wild gene flow,bicycle accidents,facilitate,genderspecific ,flush,clean cooking,free trade,emission reduction,emigration legislation,greenway,house*,climate governance,coastal ecosystem,convention on international trade in endangered species,criminal groups,forest land
,poverty eradication,crop-wild,bicycle collision,financial aid,gene,flushing,clean electricity,Free-market environmentalism,emission tax,emigration legislations,greenways,household food waste,climate hazard,coastal ecosystem restoration,Copsychus sechellarum,criminal network,forest management
,poverty indicator,croplivestock,bicycle collisions,financial* support*,genes,fog harvest,clean energy,freedom of association,emission taxes,emigration management,groundwater contamination,houses,climate hazards,coastal erosion risk assessment,Coracopsis nigra barklyi,criminal networks,forestry
,poverty line,croplivestock system,bicycle crash,first graders'' development,genetic*,fog harvesting,clean fuels,Freemarket environmentalism,emissions,emigration policies,groundwater quality,housing,climate investment,coastal eutrophication,Corvus hawaiiensis,criminal organisation,foster
,poverty reduction,croplivestock systems,bicycle crashes,flexible* learning* option*,genital* cutting*,food-borne,clean* fuel*,full and productive employment,employment,emigration policy,health behaviors,housing sector,climate investments,Coastal geographic information system,Corvus kubaryi,criminal organisations,foster*
,poverty risk,cropping systems,bicycle injuries,for work,genital* mutilation*,foodborne,Cleuson-Dixence Complex,funding,employment conditions,emigration reform,health centers,illegal waste,Climate justice,coastal governance,Corvus leucognaphalus,criminal organization,framework*
,poverty* intervention*,crops,bicycle injury,formalised training,girl,footprint,cold cathode fluorescent lamp*,gang-involved youth,employment equality,emigration reforms,health effects,impact of landfill,climate legislation,coastal hazard wheel,Cotinga maculata,criminal organizations,france
,poverty* rate*,croptowild gene flow,bicycle safety,fostering entrepreneurship,Girl*,fresh water,cold cathode fluorescent light*,ganginvolved youth,employment growth,emigration regime,health growth,impact of landfills,climate legislations,coastal management,Craseonycteris thonglongyai,criminal violence,free trade
,poverty* trend*,cropwild,bicycling injuries,Free basic education,girl*,fresh water efficiency,combustion engine,GDP,employment in industry,emigration regimes,health impact,impact of tourism,climate policies,Coastal planning ,Crax alberti,cronies,free trade agreement*
,poverty*-reducing* polic*,cucumber,bicycling injury,Free education,girls,fresh water supply,combustion engines,gdp,employment law,emigration regulation,health impact assessment,impact of underwater tourism,climate policy,coastal protection,Crax blumenbachii,crony,free trading
,povertyreducing* polic*,cultivar evolution,bicycling safety,full inclusion,girls education,fresh water use efficiency,compact fluorescent bulb*,GDP growth,employment opportunities,emigration regulations,health impacts,impacts of tourism,climate protection,coastal resource management,creation of forest,cronyism,fulfilness
,power flow control,cultivated,binge drinking,gas,girls enrollment,fresh-water management,compact fluorescent lamp*,gender,employment opportunity,emigration restriction,health inequalities,incentive,climate related disaster,coastal resources,creation of forests,curbing corruption,fund
,preparedness,Cultivated and wild species ,birth complication,gases,girls enrolment,freshwater,compact fluorescent light*,gender division of labor,employment policy,emigration restrictions,health inequality,incentives for sustainability,climate related disasters,coastal tourism,critically endanger,cyber-aggression,funded
,preparedness to crisis,cultivated species,birth complications,gay,girls retention,freshwater eco-system,COMPASS Upgrade,gender division of labour,employment protection,emigration rule,health intervention,indoor air quality,climate related hazard,coastal vulnerability classification,critically endangered,cyber-bullying,funds
,private pension,cultivation,birth control,gender,girls*,freshwater eco-systems,computer*,gender earnings gap,employment regulation,emigration rules,health literacy,industrial ecology,climate related hazards,coastal wetland,Crocodylus acutus,cyber-harassment,Gabon
,pro-poor,customary land,black death,Gender,girls* school* experience*,freshwater ecosystem,computing,gender pay equity,employment rights,emigration selection,health of children,industrial effluent,climate related risk,coastal wetlands,Crocodylus cataphractus,cyberaggression,Gambia
,program,customary* system*,black lung,Gender* stud*,glass ceiling,freshwater ecosystems,concentrated solar thermal,gini,employment security,emigration status,health outcomes,industrial symbiosis,climate related risks,coastal zone management,Crocodylus intermedius,cyberbullying,gap
,program*,CWD,bleeding during pregnancy,gender*-related* issue*,glass cliff,freshwater efficiency,conservation,global slavery index,employment share,employee with disabilities,health promotion,industrial waste,climate Resilience,coastal zone planning,Crocodylus porosus,cyberharassment,Gaza
,proletariat,dairy,bleeding in pregnancy,genderrelated* issue*,glass* ceiling*,freshwater management,construction*,global warming,energy analysis,employee with disability,health promotion and,industrial* waste*,climate resilient agriculture,coastal* area*,Crocodylus rhombifer,da''esh,general* system of preference*
,property* right*,dairy farms,Bolivia,gene,global care chain,freshwater supply,contamina*,green economy,energy benchmark,employees with disabilities,health psychology,industry,climate resilient agricultures,coastal* disaster*,Crocodylus siamensis,daesh,Georgia
,property-rights,decision* mak*,Bosnia and Herzegovina,genes,governance and public policy,freshwater supply system,controlled islanding,green employment,energy benchmarking,employees with disability,health research,infectious waste,climate resilient crop,coastal* ecosystem*,Crossoptilon crossoptilon,date rape,Germany
,propertyrights,decision*-mak*,Botswana,genetic*,government,freshwater supply systems,cooling,green tourism,energy benchmarks,employment discrimination,health risk,infrastructure,climate resilient crops,coastal* environment*,Crossoptilon mantchuricum,dating abuse,Ghana
,propoor,decision-making,botulism epidemic,global citizenship,government*,freshwater use efficiency,cooling system*,gross capital formation,energy conservation,employment equality,health risks,infrastructure sector,climate resilient farm,Coastal* manager*,Cryptobranchus alleganiensis bishopi,dating aggression,GHG
,provision,decisionmak*,botulism epidemics,graduate ,graduated* stud*,fuel,cooperation,group lending,energy consumption,environmental aid,health survey,integrated development,climate resilient farming,coastal* resource*,Crystallaria cincotta,dating violence,global civil society
,provision of drinking water,decisionmaking,botulism outbreak,graduate labour,harassment*,fuel cell,Copper indium gallium selenide,growth,energy efficiency,equal employment,health workers,integrated reporting,climate resilient farms,coastal* squeez*,Cumberlandia monodonta,defendant rights,global dev*
,prwora,Diaeretiella rapae,botulism outbreaks,graduated,health,gasification,corn ethanol,growth rate,energy efficiency in industrial,equal employment opportunities,health-related,integrated waste management,climate risk,Cobia,Cuon alpinus,defendants rights,global development*
,public assistance,differential access to resources,bovine,graduated* stud*,health care educat*,gasification waste water,cortex,growth* model*,energy efficiency in industries,equal employment opportunity,healthy eating,international aid,climate risks,cockle,Cyanopsitta spixii,deliberative democracy,global governance
,public pension,disparities in access,Brazil,graduates,healthcare educat*,gasification waste waters,cortical,growth-led tourism,energy efficiency in industry,equal opportunities,heat island,international cooperation,climate security act,cockle*,Cyclargus thomasi bethunebakeri,democratic accountability,global health
,quality education,diverse germplasm,bronchitis,graduation rates,healthcare*,gasification wastewater,cosmic,growthled tourism,energy efficiency of industrial,equal opportunity,heat islands,international waste,Climate smart,cod,Cyclura collei,democratic engagement,global partnership
,racial,domestic food price,Burkina Faso,green issues,healthy sexuality,gasification wastewaters,cosmology,habitat degradation,energy efficiency of industries,equal pay,helmet legislation,invertebrate,climate smart agriculture,Code of Conduct for Responsible Fisheries,Cyclura lewisi,democratic participation,global scale
,racial bias,drought adaptability,Burundi,green* energ*,heart damag*,governance,cost effective,hazardous* workplac*,energy efficiency of industry,equal protection,heritage,ISO 14001,climate smart agricultures,cods,Cyclura pinguis,determinant of corruption,global trade
,racial* inequalit*,drought adaptation,bus accident,green* initiative*,heart disease*,governance of water,counter rotating turbine*,heritage tourism,energy efficient,equality in the workplace,heritage artefacts,iso 14040,climate smart crop,coho,Cynomys mexicanus,determinants of corruption,global value chain*
,racism,drought adaptations,bus accidents,greening initiative,hegemonic,grey water,cross-flow tidal,hiring,energy integration,equality law,heritage building,ISO 26000,climate smart crops,Coho salmon,Cyprinodon bovinus,digital democracy,global warming
,randomised controlled trial*,drought*,bus safety,hand washing,Hegemonic masculinity,grey water management,cross-flow turbine,hiring discrimination,energy management,equality laws,heritage buildings,ISO14001,climate smart farm,colonies,Cyprinodon diabolis,digital government,global-supply chain*
,randomized controlled trial*,drought-tolerant,business*,handwashing,hegemony,grey water reclamation,cross-flow turbines,hiring discrimination:,energy optimization,equality legislation,heritage city,ISO26000,climate smart farms,colony,Cyprinodon elegans,direct democracies,globalisation
,rat,ecological change*,Cambodia,health,higher education,grey water recycle,CSP plant,human capital,energy optimizations,equality of opportunities,heritage collection,kitchen waste composting,climate strategies,Colossoma,Cyprinodon macularius,direct democracy,globalization
,rats,economic empowerment,Cameroon,health care educat*,HIV,grey water recycling,CSP plants,human rights,energy performance,equality of opportunity,heritage collections,knowledge transfer,climate strategy,columnaris,Cyprinodon nevadensis mionectes,discrimination act,governance
,real estate,edible mushroom*,cancer,health literacy,HIV education,grey water reuse,cultivat*,human sex trafficking,energy performances,equality policies,heritage conservation,landfill,Climate summit,comanagement,Cyprinodon nevadensis pectoralis,discrimination acts,government autonomy
,reconstruction,eed vault*,cancers,health promotion,hiv-infected pregnant women,grey water technologies,Current Drive,human smuggling,energy recovery,equality policy,heritage education,landfill cover,climate tax,commercial fishing,Cyprinodon radiosus,discrimination law,government debt*
,recovery,Emerging* market*,cannabis,healthcare educat*,hivinfected pregnant women,grey water treatments,current turbine*,human trafficking,energy saving,Equatorial Guinea,heritage institution,landfill design,climate taxation,Commerson Dolphin*,Cyprogenia stegaria,discrimination laws,government's action*
,redistribution*,employment,cannabis abuse,healthcare*,Homeless women,grey waters,customer*,human* trafficking* survivor*,energy saving in industrial,equities in health,heritage institutions,landfill gas,climate taxes,Commission for the Conservation of Antarctic Marine Living Resources,damage,discrimination legislation,government's leadership
,refugee,empower*,cannabis abuser,heart damag*,honor* killing*,greywater,Cutaneous,ILO,energy saving in industries,equities in healthcare,heritage management,landfill* impact*,climate treaties,Common Dolphin,Dasyurus viverrinus,discrimination legislations,government's strategic approach*
,refugee*,encephalitis virus,cannabis abusers,heart disease*,honour* killing*,greywater management,cybersecurity,ilo,energy saving in industry,equity in education,heritage place,landfill* leach* treat*,climate treaty,Common Dolphins,Daubentonia madagascariensis,discrimination policies,government*
,resilien*,end hunger,cannabis dependence,high-quality education,household work,greywater reclamation,cycloturbine*,ilo convention,energy saving of industrial,equity in health,heritage places,landfill* liner*,Climate warming,Common Seal,deforestation,discrimination policy,governmental action*
,resilience,energy* crop*,cannabis use disorder,higher education,household* work* *,greywater recycle,Dagangshan,ilo standards,energy saving of industries,equity in healthcare,heritage preservation,landfill* standard*,climatic,Common Seals,deforestation analysis,discrimination regulation,governmental decision*
,resilience of the poor,enteral formula,cannabis use disorders,higher education access,household* worker*,greywater recycling,dam,impact of technological change,energy saving of industry,eradication of poverty,heritage sector,last chance tourism,climatic change disaster,community resilience,deforestation assessment,discrimination regulations,governmental intervention*
,resiliency,enteral nutrition,cannabis-related disorder,higher* education*,human rights,greywater reuse,damless,impact of tourism,energy savings,Eritrea,heritage site,LCA,climatic change disasters,community-based,deforestation commitments,discriminatory act,Greece
,resource-poor farmer,entrepreneurship,cannabis-related disorders,highquality education,human trafficking,greywater technologies,damming,impacts of tourism,energy usage,estate tax,heritage sites,leachability,climatic change hazard,Community-based management,deforestation control,discriminatory acts,green building*
,resourcepoor farmer,Environmental impact*,cannabis-related problem,hiv,human*-rights* law*,greywater treatment,Daniel-Johnson Dam,imports,energy* efficien* factories*,estate taxation,heritage tourism,leachate,climatic change hazards,communitybased,deforestation detection,discriminatory law,green cities
,retirement pension,environmental problem*,cannabis-related problems,Human sustainability ,humanrights* law*,greywater treatments,dark fermentation,inclusive,energy* efficien* factory*,estate taxes,highway capacity,leaching* test*,climatic disaster,Communitybased management,deforestation drivers,discriminatory laws,green city
,retrenchment,environmental stress,cannabisrelated disorder,human* right* education*,hyper*-sexual*,greywaters,darrieus turbine*,inclusive banking,energy* efficien* industr*,Eswatini,Highway traffic,Leadership in Energy and Environmental Design,climatic disasters,Comoros,deforestation modelling,discriminatory legislation,green development mechanism*
,right to land,equal access,cannabisrelated disorders,human* right* learn*,Hypersexual*,grid,data attack*,Inclusive finance,energy* saving* manufacturing*,Ethiopia,historic,learning for sustainability,climatic hazard,conserv*,deforestation monitoring,discriminatory legislations,green development*
,right* to* inherit*,equality in access,cannabisrelated problem,human* right* training*,hypersexual*,ground water,data injection,inclusiveness,energy-from-waste,ethnic discrimination,historic architecture,least*-developed* countr*,climatic hazards,conservation,deforestation policy,discriminatory policies,green energ*
,rights,equitable,cannabisrelated problems,humanis*,ict,ground water clean up,daylight harvesting,income convergence,energyfrom-waste,ethnic disparities,historic building,least-developed countries,climatic risk,conservation hatchery,deforestation reduction,discriminatory policy,green engineering
,rights to land,equitable access,Cape Verde,humanistic* ideolog*,ICT,ground water cleanup,deconstruction of bio-mass,income from tourism,enhanc*,ethnic disparity,historic buildings,leastdeveloped countries,climatic risks,conservation intervention,deforestation risk,domestic abuse,green technolog*
,rigths* to* inherit*,equity,car accident,hypermedia,ict access,ground water efficiency,deconstruction of biomass,income inequality,enterprise,ethnic equality,historic cities,leastdeveloped* countr*,CO 2,conservation interventions,deforestation risks,domestic violence,greenhouse gas
,risk of poverty,equity in access,car accidents,ICT* program*,ICT usage,ground water efficient,deconstruction of lignocellulose,indigenous tourism,enterprise finance,ethnic inequalities,historic city,LEED,co 2,conservation law,degradation and desertification,domestically violent,greenmetric
,road safety,ethnobotan*,car collision,immigrant* student*,ict use,ground water management,deep space,industr*,enterprise SME,ethnic inequality,historic landscape,legitimacy theory,CO 2 allowance,conservation laws,degradation of forest,drug abuse,Grenada
,rural,ethnobotanical,car collisions,immigrants,ICT* education*,ground water production,deep* energy* retrofit*,industrial policy,enterprises,ethnic inequities,historic landscapes,lfg,CO 2 allowances,conservation of heat,Deltistes luxatus,drug cartel,grow
,rural bank,ethnobotany,car crash,improv*,ICTs,Ground water quality,degradation of bio-mass,industrial productivity,enterprises finance,ethnic inequity,historic masonry,life cycle analyses,CO 2 capture,conservation of mass,Dendroica chrysoparia,drug cartels,growth
,rural banks,export market access,car crashes,improve,icts,ground water savings,degradation of biomass,industrializing,enterprises SMEs,ethnic justice,historic monument,life cycle analysis,CO 2 certificate,conservation of momentum,Dendroica kirtlandii,dyadic death,Guatemala
,rural finance,expropri*,car safety,improved,Immigration policy,ground water use efficiency,degradation of lignocellulose,industry productivity,entertainment,ethnic segregation,historic monument protection,life cycle assessment,CO 2 compression,contam*,Dermatemys mawii,dyadic deaths,Guinea
,rural people,Expropriation,car security,improved access,in ICT,Ground water vulnerability,demand response,inequalit*,Entrepreneurial finance,ethnic stratification,historic monuments,life cycle assessments,CO 2 conversion,contamina*,desert,dynamics of corruption,Guinea-Bisau
,rural poor,extreme weather*,carcinoma,improved learning ,in* technolog*,ground waters,Deriaz turbine*,inequalities,environmental policies,European Banking Authority,historic preservation,life cycle greenhouse gas emissions,CO 2 credit,contaminant,desert*,e-democracy,Guyana
,rural* communit*,faba bean,cardiovascular diseases,improving,inclusion,ground waters clean up,dermato*,inequality,environmental policy,failed* bank*,historic urban,life cycle impact analysis,CO 2 credits,contaminant* in* oyster*,desertification,e-gov,Haiti
,safety net,fair access,cattle,improving access,inclusive,ground waters cleanup,Desiccants,inequality and growth,environmentally sound ,fair housing,historic urban landscape,life cycle impact assessment,CO 2 electro-reduction,contaminants,desertification assessment,e-governance,help*
,safety-net,fair trade,cell-to-cell,inadequacy,increas*,ground-water management,detection,informal credit,Environmentally Sound Technologies,family reunification,historic* area*,life cycle impacts,CO 2 electroreduction,contaminants in fish,desertification combating,e-government,Herzegovina
,safetynet,fAlternative food movement,Central African Republic,incentive*,Inequal*,ground-water protection,deuterium,informal economy,Environmentally Sound Technology,Fiji,historical,life cycle inventories,CO 2 emission,contaminants in shellfish,desertification control,e-participation,hidden econom*
,sanitation,family labour,cerebrovascular disease,inclusion,inequal*,ground-water rehabilitation,develop* countr*,informal employment,equal pay,financ*,historical architecture,life cycle inventory,CO 2 emissions,contaminated,desertification hazard,economic democracy,higher commitment*
,saving groups,famine ,cerebrovascular diseases,inclusion in education,inequalit*,ground-water restoration,dg unit,informal jobs,equity crowdfunding,financ* cris*,historical artifacts,life cycle sustainability,CO 2 enhanced oil recovery,contaminated harbour sediments,desertification mitigation,economic freedom,higher demand
,Schistosom,famine relief,Chad,inclusion* initiative*,inequit*,ground-waters protection,Digital fault recorder,informal sector,exergy analysis,financ* instabilit*,historical bridge,life cycle thinking,CO 2 eor,contamination,desertification monitoring,edemocracy,Highly Indebted Poor Countries
,Schistosom*,Farm,challenge*,inclusive,information,ground-waters rehabilitation,diii-d,informal* enterprise*,exergy efficiency,financ* legislation*,historical bridges,lifecycle analysis,CO 2 fixation,contamination*,desertification prevention,effect of corruption,Highly Indebted Poor Countries Initiative
,schizophrenia,farm,chemical abuse,inclusive curriculum,information and communication technologies,ground-waters restoration,dimmable,informal* firm*,exergy efficient,financ* market* regulat*,historical building,lifecycle assessment,CO 2 fixation solution,continental shelf,desertification process,effects of corruption,HIPC
,segregation,farm animal,chemical addiction,inclusive education,information science,groundwater,dimming LED*,infrastructure,External finance,financ* regulat*,historical buildings,living building challenge,CO 2 foot-print,Convention for the Conservation and Management of Highly Migratory Fish Stocks,desertification processes,egov,HIPC Initiative
,sendai* framework*,farm animal genetic resources,chemical dependence,inclusive environment,information* science*,groundwater clean up,dimming system*,injury and illness,fabrication,financ* service* regulat*,historical centers,low income,CO 2 footprint,Convention for the Conservation of Antarctic Marine Living Resources,desertification reversion,egovernance,Honduras
,sepsis*,farm household,chemical dependency,inclusive pedagogy,informed,groundwater cleanup,dimming system* OR (,injury rates,facial,financ* shock*,historical cities,low*-energy* building*,CO 2 hydrogenation,Convention on the Conservation and Management of Fishery Resources in the South East Atlantic Ocean,desertification risk,egovernment,Iceland
,social allowance,farm households,chemotherapy,inclusive school,integration,groundwater contamination,direct hydrogen injection,innovation,factories,financ* stabilit*,historical city,low*-energy* house*,CO 2 injection,Convention on the Conservation and Management of Highly Migratory Fish Stocks in the Western and Central Pacific Ocean,deserts,elder abuse,ICT
,social assistance,farm income,chikungunya epidemic,inclusive schools,international human rights ,groundwater Desalination,discharge bulb*,innovation policy,factories waste,financ* supervis*,historical garden,lowenergy* building*,CO 2 market,Convention on the Law of the Sea,development agenda,elder maltreatment,ICTs
,social assistance for the poor,farm input subsidy,chikungunya epidemics,inclusive* approach*,internet access,groundwater efficiency,discharge lamp*,institutions and growth,factories wastes,financ* turmoil*,historical gardens,lowenergy* house*,CO 2 markets,Cook Islands,Dicerorhinus sumatrensis,elder mistreatment,impact*
